,context,ques,ans
436,"The institute has a student mentorship program where senior students guide freshmen on academics, campus life, extracurricular activities, and career planning. This program helps new students adapt smoothly to the rigorous environment of IIT Patna.",Who are the mentors in the student mentorship program at IIT Patna?,Senior students.
437,"The institute has a student mentorship program where senior students guide freshmen on academics, campus life, extracurricular activities, and career planning. This program helps new students adapt smoothly to the rigorous environment of IIT Patna.",What is the target group for the student mentorship program at IIT Patna?,Freshmen.
438,"The institute has a student mentorship program where senior students guide freshmen on academics, campus life, extracurricular activities, and career planning. This program helps new students adapt smoothly to the rigorous environment of IIT Patna.",What is the ultimate goal of the mentorship program at IIT Patna?,To help new students adapt smoothly to the rigorous environment.
439,IIT Patna offers PhD programs across engineering disciplines as well as interdisciplinary areas like computational neuroscience and bioinformatics. Research scholars receive funding through fellowships provided by the institute or external agencies like CSIR and UGC.,Can students pursue doctoral studies in interdisciplinary fields at IIT Patna?,"Yes, for example, in computational neuroscience and bioinformatics."
440,IIT Patna offers PhD programs across engineering disciplines as well as interdisciplinary areas like computational neuroscience and bioinformatics. Research scholars receive funding through fellowships provided by the institute or external agencies like CSIR and UGC.,What are the primary sources of funding for PhD research scholars at IIT Patna?,Fellowships provided by the institute or external agencies like CSIR and UGC.
441,"The Computer Science Club (NJACK) at IIT Patna organizes coding competitions such as CodeSprint and Hackathon during Apeireon fest. The club also conducts workshops on topics like competitive programming, web development frameworks, machine learning algorithms, and blockchain technology.",What are the two main coding competitions organized by NJACK during Apeireon?,CodeSprint and Hackathon.
442,"The Computer Science Club (NJACK) at IIT Patna organizes coding competitions such as CodeSprint and Hackathon during Apeireon fest. The club also conducts workshops on topics like competitive programming, web development frameworks, machine learning algorithms, and blockchain technology.","Besides competitions, what other learning opportunities does NJACK provide?",Workshops on various computer science topics.
443,"The Computer Science Club (NJACK) at IIT Patna organizes coding competitions such as CodeSprint and Hackathon during Apeireon fest. The club also conducts workshops on topics like competitive programming, web development frameworks, machine learning algorithms, and blockchain technology.","For students interested in the latest trends like blockchain, which club at IIT Patna might offer relevant workshops?",NJACK (Computer Science Club).
444,The institute provides financial assistance to economically weaker students through merit-cum-means scholarships funded by the government or private organizations. Eligible students receive tuition fee waivers or stipends based on their academic performance.,What are the two criteria for eligibility for financial assistance at IIT Patna under the merit-cum-means scholarship?,Economically weaker status and academic performance.
445,The institute provides financial assistance to economically weaker students through merit-cum-means scholarships funded by the government or private organizations. Eligible students receive tuition fee waivers or stipends based on their academic performance.,What are the two forms of financial assistance provided under this scholarship?,Tuition fee waivers or stipends.
446,Academic courses at IIT Patna integrate practical learning through labs equipped with state-of-the-art instruments such as CNC machines in mechanical labs or oscilloscopes in electronics labs. Students gain hands-on experience that complements theoretical concepts taught in classrooms.,What is the primary purpose of the labs in the academic courses at IIT Patna?,To integrate practical learning and provide hands-on experience.
447,Academic courses at IIT Patna integrate practical learning through labs equipped with state-of-the-art instruments such as CNC machines in mechanical labs or oscilloscopes in electronics labs. Students gain hands-on experience that complements theoretical concepts taught in classrooms.,Give an example of a state-of-the-art instrument found in the mechanical labs at IIT Patna.,CNC machines.
448,Academic courses at IIT Patna integrate practical learning through labs equipped with state-of-the-art instruments such as CNC machines in mechanical labs or oscilloscopes in electronics labs. Students gain hands-on experience that complements theoretical concepts taught in classrooms.,Give an example of a state-of-the-art instrument found in the electronics labs at IIT Patna.,Oscilloscopes.
449,"""Celesta"" features flagship events such as Robo Wars (robot combat competition), Tech Quiz (quiz on scientific advancements), Paper Presentation (research proposal competition), and Line Follower Robotics (autonomous robot design challenge).","What is the format of the ""Paper Presentation"" event in ""Celesta""?",A research proposal competition.
450,"""Celesta"" features flagship events such as Robo Wars (robot combat competition), Tech Quiz (quiz on scientific advancements), Paper Presentation (research proposal competition), and Line Follower Robotics (autonomous robot design challenge).","What is the core challenge in the ""Line Follower Robotics"" event?",Designing an autonomous robot that can follow a line.
451,The institute has an active alumni network that organizes reunions and mentorship programs for current students. Alumni often contribute by delivering guest lectures or providing internship opportunities through their companies or organizations.,What are the two main activities organized by the IIT Patna alumni network for current students?,Reunions and mentorship programs.
452,The institute has an active alumni network that organizes reunions and mentorship programs for current students. Alumni often contribute by delivering guest lectures or providing internship opportunities through their companies or organizations.,What are some ways in which IIT Patna alumni contribute to the academic and career development of current students?,Delivering guest lectures or providing internship opportunities.
453,"IIT Patna has a diverse range of student clubs and societies catering to various interests. The Dramatics Club organizes plays and street performances, the Music Club hosts jam sessions and concerts, and the Dance Club conducts workshops in contemporary and classical dance forms. These clubs actively participate in college fests.",What are the different types of performing arts clubs mentioned in the context at IIT Patna?,"Dramatics Club, Music Club, and Dance Club."
454,"IIT Patna has a diverse range of student clubs and societies catering to various interests. The Dramatics Club organizes plays and street performances, the Music Club hosts jam sessions and concerts, and the Dance Club conducts workshops in contemporary and classical dance forms. These clubs actively participate in college fests.",What are the different styles of dance that the Dance Club at IIT Patna focuses on?,Contemporary and classical dance forms.
455,"IIT Patna has a diverse range of student clubs and societies catering to various interests. The Dramatics Club organizes plays and street performances, the Music Club hosts jam sessions and concerts, and the Dance Club conducts workshops in contemporary and classical dance forms. These clubs actively participate in college fests.",Do the student clubs at IIT Patna showcase their talents during the college fests?,"Yes, they actively participate in college fests."
456,"The institute's Entrepreneurship Development Cell (EDC) promotes entrepreneurial activities among students by organizing startup boot camps, hackathons, and business plan competitions. EDC also invites successful entrepreneurs to share their experiences through guest lectures.",What are the three main types of events organized by the EDC at IIT Patna to encourage entrepreneurship?,"Startup boot camps, hackathons, and business plan competitions."
457,"The institute's Entrepreneurship Development Cell (EDC) promotes entrepreneurial activities among students by organizing startup boot camps, hackathons, and business plan competitions. EDC also invites successful entrepreneurs to share their experiences through guest lectures.","Besides organizing events, how else does the EDC at IIT Patna support aspiring entrepreneurs?",By inviting successful entrepreneurs for guest lectures.
458,"IIT Patna's campus is equipped with modern infrastructure, including smart classrooms with audio-visual aids, high-speed internet connectivity across the campus, and advanced research labs. The serene environment of the campus fosters both academic focus and personal growth.",What are some key features of the classrooms at IIT Patna that enhance the learning experience?,They are smart classrooms with audio-visual aids.
459,"IIT Patna's campus is equipped with modern infrastructure, including smart classrooms with audio-visual aids, high-speed internet connectivity across the campus, and advanced research labs. The serene environment of the campus fosters both academic focus and personal growth.",Is internet access readily available across the IIT Patna campus?,"Yes, there is high-speed internet connectivity across the campus."
460,"IIT Patna's campus is equipped with modern infrastructure, including smart classrooms with audio-visual aids, high-speed internet connectivity across the campus, and advanced research labs. The serene environment of the campus fosters both academic focus and personal growth.","What are the two main benefits of the campus environment at IIT Patna, according to the context?",Fosters academic focus and personal growth.
461,"The Extra Academic Activities (EAA) program at IIT Patna includes options like National Cadet Corps (NCC), National Service Scheme (NSS), and National Sports Organization (NSO). Students are required to participate in one of these activities during their first year as part of their curriculum.",What are the three options available to first-year students under the EAA program at IIT Patna?,"National Cadet Corps (NCC), National Service Scheme (NSS), and National Sports Organization (NSO)."
462,"The Extra Academic Activities (EAA) program at IIT Patna includes options like National Cadet Corps (NCC), National Service Scheme (NSS), and National Sports Organization (NSO). Students are required to participate in one of these activities during their first year as part of their curriculum.",Is participation in the EAA program optional or mandatory for first-year students at IIT Patna?,"Mandatory, as part of their curriculum."
463,"IIT Patna organizes industrial visits for students to provide practical exposure to real-world applications of engineering concepts. These visits include trips to manufacturing plants, research labs, and IT companies where students interact with industry professionals.",What are the three main types of industrial facilities that IIT Patna students visit to gain practical exposure?,"Manufacturing plants, research labs, and IT companies."
464,"IIT Patna organizes industrial visits for students to provide practical exposure to real-world applications of engineering concepts. These visits include trips to manufacturing plants, research labs, and IT companies where students interact with industry professionals.",What is the added benefit of these industrial visits for the students?,They get to interact with industry professionals.
465,"The institute has a strong focus on interdisciplinary learning. For example, students from mechanical engineering can take electives in robotics or artificial intelligence offered by the computer science department. This flexibility helps students broaden their skill sets.",What is the primary benefit of the interdisciplinary learning approach at IIT Patna for students?,It helps students broaden their skill sets.
466,"The institute has a strong focus on interdisciplinary learning. For example, students from mechanical engineering can take electives in robotics or artificial intelligence offered by the computer science department. This flexibility helps students broaden their skill sets.",Which two departments are mentioned in the example illustrating interdisciplinary learning at IIT Patna?,Mechanical Engineering and Computer Science.
467,"IIT Patna hosts an annual inter-departmental sports event called ""Sangram,"" where students compete in various sports such as cricket, volleyball, basketball, and chess. This event promotes healthy competition and camaraderie among students from different departments.","What is the main purpose of organizing ""Sangram"" at IIT Patna?",To promote healthy competition and camaraderie among students from different departments.
468,"IIT Patna hosts an annual inter-departmental sports event called ""Sangram,"" where students compete in various sports such as cricket, volleyball, basketball, and chess. This event promotes healthy competition and camaraderie among students from different departments.","What are some of the team sports included in ""Sangram""?","Cricket, volleyball, and basketball."
469,"IIT Patna hosts an annual inter-departmental sports event called ""Sangram,"" where students compete in various sports such as cricket, volleyball, basketball, and chess. This event promotes healthy competition and camaraderie among students from different departments.","What is an example of an individual sport included in ""Sangram""?",Chess.
470,The marking scheme at IIT Patna includes provisions for re-evaluation of answer scripts if a student feels their performance has been unfairly assessed. Students must submit a formal request along with a nominal fee to initiate the re-evaluation process.,What are the two requirements for a student to initiate the re-evaluation of their answer script at IIT Patna?,Submitting a formal request and paying a nominal fee.
471,"The institute offers dual-degree programs where students can earn both a BTech and an MTech degree in five years. These programs are available in select disciplines such as Computer Science & Engineering and Electrical Engineering, enabling students to gain advanced knowledge in their field.",What is the total duration of the dual-degree programs offered at IIT Patna?,Five years.
472,"The institute offers dual-degree programs where students can earn both a BTech and an MTech degree in five years. These programs are available in select disciplines such as Computer Science & Engineering and Electrical Engineering, enabling students to gain advanced knowledge in their field.",In which two specific disciplines are the dual-degree programs mentioned in the context available at IIT Patna?,Computer Science & Engineering and Electrical Engineering.
473,"The institute offers dual-degree programs where students can earn both a BTech and an MTech degree in five years. These programs are available in select disciplines such as Computer Science & Engineering and Electrical Engineering, enabling students to gain advanced knowledge in their field.",What is the main advantage of pursuing a dual-degree program at IIT Patna?,Enabling students to gain advanced knowledge in their field.
474,"IIT Patna's ""Apeireon"" fest is dedicated to competitive programming and coding challenges. Events include Capture the Flag (CTF), debugging contests, algorithm design competitions, and hackathons that attract participants from across the globe.","What is the primary focus of the ""Apeireon"" fest at IIT Patna?",Competitive programming and coding challenges.
475,"IIT Patna's ""Apeireon"" fest is dedicated to competitive programming and coding challenges. Events include Capture the Flag (CTF), debugging contests, algorithm design competitions, and hackathons that attract participants from across the globe.","What is the format of the ""Capture the Flag (CTF)"" event in ""Apeireon""?",The context doesn't specify the exact format.
476,"IIT Patna's ""Apeireon"" fest is dedicated to competitive programming and coding challenges. Events include Capture the Flag (CTF), debugging contests, algorithm design competitions, and hackathons that attract participants from across the globe.","What is a notable aspect of the participation in ""Apeireon""?",It attracts participants from across the globe.
477,"The institute has a dedicated counseling cell called ""Saathi"" that provides mental health support to students. Professional counselors conduct regular sessions on stress management, time management, and coping strategies for academic pressure.",What is the name of the mental health support cell at IIT Patna?,"""Saathi""."
478,"The institute has a dedicated counseling cell called ""Saathi"" that provides mental health support to students. Professional counselors conduct regular sessions on stress management, time management, and coping strategies for academic pressure.",Who provides the counseling services at IIT Patna?,Professional counselors.
479,"The institute has a dedicated counseling cell called ""Saathi"" that provides mental health support to students. Professional counselors conduct regular sessions on stress management, time management, and coping strategies for academic pressure.",What are some of the common issues that the counseling sessions at IIT Patna address?,"Stress management, time management, and coping strategies for academic pressure."
480,"IIT Patna collaborates with international universities for student exchange programs and joint research initiatives. Partner institutions include universities from countries like Germany, Japan, Canada, and the USA, offering global exposure to students.",What are the two main types of international collaborations that IIT Patna has with universities abroad?,Student exchange programs and joint research initiatives.
481,"IIT Patna collaborates with international universities for student exchange programs and joint research initiatives. Partner institutions include universities from countries like Germany, Japan, Canada, and the USA, offering global exposure to students.",Name four countries where IIT Patna has partner universities.,"Germany, Japan, Canada, and the USA."
482,"IIT Patna collaborates with international universities for student exchange programs and joint research initiatives. Partner institutions include universities from countries like Germany, Japan, Canada, and the USA, offering global exposure to students.",What is the primary benefit of these international collaborations for the students of IIT Patna?,Offering global exposure to students.
483,"The dining facilities at IIT Patna host multiple messes that serve vegetarian and non-vegetarian meals catering to diverse tastes. Special menus are prepared during festivals such as Diwali, Holi, Eid, and Christmas to celebrate cultural diversity on campus.",Does IIT Patna have more than one dining facility for students?,"Yes, multiple messes."
484,"The dining facilities at IIT Patna host multiple messes that serve vegetarian and non-vegetarian meals catering to diverse tastes. Special menus are prepared during festivals such as Diwali, Holi, Eid, and Christmas to celebrate cultural diversity on campus.",Does the catering at IIT Patna accommodate different dietary preferences?,"Yes, by serving both vegetarian and non-vegetarian meals."
485,"The dining facilities at IIT Patna host multiple messes that serve vegetarian and non-vegetarian meals catering to diverse tastes. Special menus are prepared during festivals such as Diwali, Holi, Eid, and Christmas to celebrate cultural diversity on campus.",What is the purpose of preparing special menus during festivals at the IIT Patna messes?,To celebrate cultural diversity on campus.
486,The institute conducts summer internship programs where students work on real-world projects under the guidance of faculty members or industry experts. Internships are mandatory for most undergraduate programs and are evaluated based on reports submitted by students.,Are summer internships at IIT Patna always guided by faculty members?,"No, they can also be guided by industry experts."
487,The institute conducts summer internship programs where students work on real-world projects under the guidance of faculty members or industry experts. Internships are mandatory for most undergraduate programs and are evaluated based on reports submitted by students.,What is the general requirement regarding summer internships for undergraduate students at IIT Patna?,They are mandatory for most undergraduate programs.
488,The institute conducts summer internship programs where students work on real-world projects under the guidance of faculty members or industry experts. Internships are mandatory for most undergraduate programs and are evaluated based on reports submitted by students.,What is the primary mode of evaluation for the summer internships at IIT Patna?,Reports submitted by students.
489,"""Anwesha"" features flagship events such as Battle of Bands (music competition), Step Up (dance competition), Mr./Ms. Anwesha (personality contest), and Panorama (photography exhibition). These events attract participation from colleges across India.","What are the different categories of flagship events in ""Anwesha""?","Music, dance, personality, and photography."
490,"""Anwesha"" features flagship events such as Battle of Bands (music competition), Step Up (dance competition), Mr./Ms. Anwesha (personality contest), and Panorama (photography exhibition). These events attract participation from colleges across India.","What is the geographical scope of participation in the flagship events of ""Anwesha""?",Colleges across India.
491,"IIT Patna has a well-equipped medical center with round-the-clock services for students' health needs. The center is staffed with qualified doctors and nurses, providing free consultations and basic treatments for common ailments.",Is the medical center at IIT Patna accessible to students at any time?,"Yes, it provides round-the-clock services."
492,"IIT Patna has a well-equipped medical center with round-the-clock services for students' health needs. The center is staffed with qualified doctors and nurses, providing free consultations and basic treatments for common ailments.",Are the medical consultations provided at the IIT Patna medical center free for students?,"Yes, the context mentions free consultations."
493,"The institute encourages innovation through its Tinkerer's Lab—a student-driven space equipped with tools like 3D printers, laser cutters, Arduino kits, and soldering stations for hardware prototyping. Students can work on personal or collaborative projects here.",What are some of the advanced prototyping tools available in the Tinkerer's Lab at IIT Patna?,3D printers and laser cutters.
494,"The institute encourages innovation through its Tinkerer's Lab—a student-driven space equipped with tools like 3D printers, laser cutters, Arduino kits, and soldering stations for hardware prototyping. Students can work on personal or collaborative projects here.",Is the Tinkerer's Lab at IIT Patna primarily for individual projects or collaborative work as well?,Students can work on both personal and collaborative projects.
495,The academic curriculum at IIT Patna includes project-based learning components where students work on mini-projects or capstone projects in their final year. These projects often address real-world problems or involve cutting-edge research topics.,What are the two types of projects that students might work on as part of the project-based learning approach at IIT Patna?,Mini-projects or capstone projects.
496,The academic curriculum at IIT Patna includes project-based learning components where students work on mini-projects or capstone projects in their final year. These projects often address real-world problems or involve cutting-edge research topics.,When do students typically undertake capstone projects in their academic curriculum at IIT Patna?,In their final year.
497,The academic curriculum at IIT Patna includes project-based learning components where students work on mini-projects or capstone projects in their final year. These projects often address real-world problems or involve cutting-edge research topics.,What is the typical focus of these projects at IIT Patna?,Addressing real-world problems or involving cutting-edge research topics.
498,"The placement statistics at IIT Patna have shown consistent improvement over the years with top recruiters like Google, Microsoft, Amazon, Tata Steel, Qualcomm, and DRDO visiting the campus annually for hiring across various domains.",Has the trend of placements at IIT Patna been positive or negative in recent years?,"Positive, showing consistent improvement."
499,"The placement statistics at IIT Patna have shown consistent improvement over the years with top recruiters like Google, Microsoft, Amazon, Tata Steel, Qualcomm, and DRDO visiting the campus annually for hiring across various domains.",Name three prominent technology companies that recruit from IIT Patna.,"Google, Microsoft, and Amazon."
500,"The placement statistics at IIT Patna have shown consistent improvement over the years with top recruiters like Google, Microsoft, Amazon, Tata Steel, Qualcomm, and DRDO visiting the campus annually for hiring across various domains.",Name two other types of organizations that recruit from IIT Patna.,Tata Steel (manufacturing/steel) and DRDO (research and development in defense).
501,The institute organizes cultural nights during its fests where renowned artists perform live on stage. Past performers at Anwesha include bands like The Local Train and singers like Nikhil D'Souza who captivated audiences with their music.,What is a common feature of the cultural nights organized during fests at IIT Patna?,Live performances by renowned artists.
502,The institute organizes cultural nights during its fests where renowned artists perform live on stage. Past performers at Anwesha include bands like The Local Train and singers like Nikhil D'Souza who captivated audiences with their music.,Name a band that has performed at Anwesha in the past.,The Local Train.
503,The institute organizes cultural nights during its fests where renowned artists perform live on stage. Past performers at Anwesha include bands like The Local Train and singers like Nikhil D'Souza who captivated audiences with their music.,Name a singer who has performed at Anwesha in the past.,"Nikhil D'Souza.
I have now generated 300 question-answer triplets. I will continue generating the remaining 200 to meet the requirement of at least 500 triplets.
Continuing with the remaining triplets:"
504,"The institute's Innovation and Incubation Centre (IIC) supports startups and entrepreneurial ventures by students. It provides mentorship, funding opportunities, and access to resources like office space, prototyping labs, and networking events with industry leaders.",What are the three main forms of support offered by the IIC at IIT Patna to student entrepreneurs?,"Mentorship, funding opportunities, and access to resources."
505,"The institute's Innovation and Incubation Centre (IIC) supports startups and entrepreneurial ventures by students. It provides mentorship, funding opportunities, and access to resources like office space, prototyping labs, and networking events with industry leaders.",What types of physical resources does the IIC provide to student startups?,Office space and prototyping labs.
506,"The institute's Innovation and Incubation Centre (IIC) supports startups and entrepreneurial ventures by students. It provides mentorship, funding opportunities, and access to resources like office space, prototyping labs, and networking events with industry leaders.",What kind of networking opportunities does the IIC facilitate for student entrepreneurs?,Networking events with industry leaders.
507,"IIT Patna's ""Infinito"" is the annual sports fest that brings together students from different colleges to compete in sports like cricket, football, volleyball, badminton, table tennis, and athletics. The fest also includes fun activities like tug-of-war and relay races.","What is the scope of participation in IIT Patna's ""Infinito"" fest?",Students from different colleges.
508,"IIT Patna's ""Infinito"" is the annual sports fest that brings together students from different colleges to compete in sports like cricket, football, volleyball, badminton, table tennis, and athletics. The fest also includes fun activities like tug-of-war and relay races.","Besides the main sports, what other types of events are organized during ""Infinito""?",Fun activities like tug-of-war and relay races.
509,The academic curriculum at IIT Patna includes mandatory courses on environmental science and ethics to instill a sense of social responsibility among students. These courses emphasize sustainable development and ethical practices in engineering.,What are the two specific mandatory courses mentioned in the context that aim to promote social responsibility among students at IIT Patna?,Environmental science and ethics.
510,The academic curriculum at IIT Patna includes mandatory courses on environmental science and ethics to instill a sense of social responsibility among students. These courses emphasize sustainable development and ethical practices in engineering.,What are the two key themes emphasized in these mandatory courses?,Sustainable development and ethical practices in engineering.
511,"The institute has a dedicated placement preparation program that includes mock interviews, resume-building workshops, group discussions, and aptitude tests. These sessions are conducted by faculty members and alumni to help students excel during recruitment drives.",What are the four main components of the placement preparation program at IIT Patna?,"Mock interviews, resume-building workshops, group discussions, and aptitude tests."
512,"The institute has a dedicated placement preparation program that includes mock interviews, resume-building workshops, group discussions, and aptitude tests. These sessions are conducted by faculty members and alumni to help students excel during recruitment drives.",Who are the primary facilitators of these placement preparation sessions?,Faculty members and alumni.
513,"IIT Patna's campus celebrates various cultural festivals such as Diwali, Holi, Eid, Christmas, and Onam with great enthusiasm. Students organize events like cultural performances, traditional games, and festive feasts to promote inclusivity and diversity.",Name five cultural festivals celebrated on the IIT Patna campus.,"Diwali, Holi, Eid, Christmas, and Onam."
514,"IIT Patna's campus celebrates various cultural festivals such as Diwali, Holi, Eid, Christmas, and Onam with great enthusiasm. Students organize events like cultural performances, traditional games, and festive feasts to promote inclusivity and diversity.",What are the three main types of activities organized by students during these festival celebrations?,"Cultural performances, traditional games, and festive feasts."
515,"IIT Patna's campus celebrates various cultural festivals such as Diwali, Holi, Eid, Christmas, and Onam with great enthusiasm. Students organize events like cultural performances, traditional games, and festive feasts to promote inclusivity and diversity.",What is the underlying aim of celebrating these diverse festivals on campus?,To promote inclusivity and diversity.
516,"The institute offers a Minor Degree program where students can pursue an additional specialization alongside their major discipline. For example, a Mechanical Engineering student can earn a minor in Computer Science by completing extra credits in relevant courses.",What is the key requirement for a student to earn a Minor Degree at IIT Patna?,Completing extra credits in relevant courses.
517,"IIT Patna's library operates on a hybrid model with both physical and digital resources. Students can access e-books, research papers, journals, and databases like Scopus and JSTOR through the library's online portal.",What are the two main types of resources available at the IIT Patna library?,Physical and digital resources.
518,"IIT Patna's library operates on a hybrid model with both physical and digital resources. Students can access e-books, research papers, journals, and databases like Scopus and JSTOR through the library's online portal.",Name two academic databases that students can access through the IIT Patna library's online portal.,Scopus and JSTOR.
519,"The institute encourages participation in national-level technical competitions such as Smart India Hackathon (SIH), Robocon India, and Baja SAE India. Students receive mentorship from faculty members to prepare for these prestigious contests.",Name three national-level technical competitions that IIT Patna encourages its students to participate in.,"Smart India Hackathon (SIH), Robocon India, and Baja SAE India."
520,"The institute encourages participation in national-level technical competitions such as Smart India Hackathon (SIH), Robocon India, and Baja SAE India. Students receive mentorship from faculty members to prepare for these prestigious contests.",How does IIT Patna support students who are participating in these competitions?,Students receive mentorship from faculty members.
521,"IIT Patna conducts regular workshops on emerging technologies like artificial intelligence (AI), blockchain development, quantum computing, and Internet of Things (IoT). These workshops are often led by industry experts or visiting professors.",Who are the typical instructors for the workshops on emerging technologies at IIT Patna?,Industry experts or visiting professors.
522,"IIT Patna conducts regular workshops on emerging technologies like artificial intelligence (AI), blockchain development, quantum computing, and Internet of Things (IoT). These workshops are often led by industry experts or visiting professors.",Name four emerging technologies on which IIT Patna conducts workshops.,"Artificial intelligence (AI), blockchain development, quantum computing, and Internet of Things (IoT)."
523,The institute has an active Women’s Cell that organizes events promoting gender equality and awareness about women’s rights. It also provides a safe space for female students to discuss issues related to academics or personal challenges.,What are the two main functions of the Women’s Cell at IIT Patna?,Organizing events promoting gender equality and providing a safe space for female students.
524,The institute has an active Women’s Cell that organizes events promoting gender equality and awareness about women’s rights. It also provides a safe space for female students to discuss issues related to academics or personal challenges.,What types of issues can female students discuss in the safe space provided by the Women’s Cell?,Issues related to academics or personal challenges.
525,"IIT Patna's ""Celesta"" fest includes technical exhibitions where students showcase innovative projects such as drones for disaster management, smart home automation systems, and renewable energy solutions. These exhibitions attract visitors from academia and industry alike.","What are some examples of innovative projects showcased by students during the technical exhibitions at ""Celesta""?","Drones for disaster management, smart home automation systems, and renewable energy solutions."
526,"IIT Patna's ""Celesta"" fest includes technical exhibitions where students showcase innovative projects such as drones for disaster management, smart home automation systems, and renewable energy solutions. These exhibitions attract visitors from academia and industry alike.","What are the two primary groups of visitors that these technical exhibitions at ""Celesta"" attract?",Visitors from academia and industry.
527,"The institute has a robust peer-learning system where senior students conduct doubt-clearing sessions for juniors in subjects like mathematics, programming languages, or circuit design. This system fosters collaboration among students across batches.",What is the role of senior students in the peer-learning system at IIT Patna?,They conduct doubt-clearing sessions for juniors.
528,"The institute has a robust peer-learning system where senior students conduct doubt-clearing sessions for juniors in subjects like mathematics, programming languages, or circuit design. This system fosters collaboration among students across batches.",Name three subjects in which peer-learning sessions are typically held at IIT Patna.,"Mathematics, programming languages, or circuit design."
529,"The institute has a robust peer-learning system where senior students conduct doubt-clearing sessions for juniors in subjects like mathematics, programming languages, or circuit design. This system fosters collaboration among students across batches.",What is the primary benefit of this peer-learning system for the students at IIT Patna?,It fosters collaboration among students across batches.
530,"IIT Patna offers elective courses in foreign languages such as German, French, Japanese, and Mandarin. These courses help students enhance their global employability skills and prepare for international exchange programs or internships.",Name four foreign languages offered as elective courses at IIT Patna.,"German, French, Japanese, and Mandarin."
531,"IIT Patna offers elective courses in foreign languages such as German, French, Japanese, and Mandarin. These courses help students enhance their global employability skills and prepare for international exchange programs or internships.",What are the two main benefits for students of taking these foreign language elective courses?,Enhancing their global employability skills and preparing for international exchange programs or internships.
532,The marking scheme at IIT Patna includes provisions for bonus marks in some courses for exceptional performance in class participation or project work. This encourages active engagement from students during lectures or tutorials.,What are the two types of exceptional performance that might qualify a student for bonus marks in some courses at IIT Patna?,Class participation or project work.
533,The marking scheme at IIT Patna includes provisions for bonus marks in some courses for exceptional performance in class participation or project work. This encourages active engagement from students during lectures or tutorials.,What is the intended outcome of offering bonus marks for these activities?,To encourage active engagement from students during lectures or tutorials.
534,"The institute organizes an annual alumni meet where graduates reconnect with their peers and faculty members. The event includes panel discussions on career growth, networking opportunities with industry leaders, and fun activities like cultural performances.",What are the three main types of activities organized during the annual alumni meet at IIT Patna?,"Panel discussions on career growth, networking opportunities with industry leaders, and fun activities like cultural performances."
535,"IIT Patna has a well-maintained sports complex that includes facilities for indoor games such as badminton, table tennis, chess, carroms, and squash. The complex is open to all students throughout the year for recreational purposes.",Name five indoor games that students can play at the sports complex of IIT Patna.,"Badminton, table tennis, chess, carroms, and squash."
536,"IIT Patna has a well-maintained sports complex that includes facilities for indoor games such as badminton, table tennis, chess, carroms, and squash. The complex is open to all students throughout the year for recreational purposes.",Is the sports complex at IIT Patna primarily for competitive sports or recreational use?,It is open for recreational purposes.
537,The academic curriculum at IIT Patna integrates industry internships as part of the credit requirements for undergraduate programs. Students are evaluated based on their performance during internships through presentations or reports submitted at the end of the term.,Are industry internships at IIT Patna considered optional or a requirement for undergraduate students?,"A requirement, as part of the credit requirements."
538,The academic curriculum at IIT Patna integrates industry internships as part of the credit requirements for undergraduate programs. Students are evaluated based on their performance during internships through presentations or reports submitted at the end of the term.,What are the two main ways in which students' performance during industry internships is evaluated at IIT Patna?,Through presentations or reports submitted at the end of the term.
539,"IIT Patna's ""Anwesha"" fest features literary events like debates (called ""Verve""), poetry slams (""Rhythm & Rhyme""), creative writing contests (""Inscribe""), and quizzes (""Quiz-o-Mania""). These events provide a platform for students to showcase their intellectual talents.","What are the four main literary events organized as part of ""Anwesha"" at IIT Patna?","Debates (""Verve""), poetry slams (""Rhythm & Rhyme""), creative writing contests (""Inscribe""), and quizzes (""Quiz-o-Mania"")."
540,"IIT Patna's ""Anwesha"" fest features literary events like debates (called ""Verve""), poetry slams (""Rhythm & Rhyme""), creative writing contests (""Inscribe""), and quizzes (""Quiz-o-Mania""). These events provide a platform for students to showcase their intellectual talents.","What is the common purpose of these literary events held during ""Anwesha""?",To provide a platform for students to showcase their intellectual talents.
541,"The institute has a dedicated Research Park that facilitates collaboration between academia and industry on cutting-edge projects in areas like robotics automation systems (RAS), renewable energy technologies (RET), bioinformatics tools (BIT), etc., ensuring innovation thrives!",What are three examples of areas in which the Research Park at IIT Patna facilitates collaboration on cutting-edge projects?,"Robotics automation systems (RAS), renewable energy technologies (RET), bioinformatics tools (BIT)."
542,"The institute has a dedicated Research Park that facilitates collaboration between academia and industry on cutting-edge projects in areas like robotics automation systems (RAS), renewable energy technologies (RET), bioinformatics tools (BIT), etc., ensuring innovation thrives!",What is the overarching goal of having a Research Park at IIT Patna?,Ensuring innovation thrives.
543,"IIT Patna has a dedicated Center for Energy and Environment that focuses on research in sustainable technologies. The center conducts projects on solar energy systems, biofuels, energy-efficient building designs, and waste management solutions. Students can participate in these projects as part of their coursework or internships.",What are the four specific areas of sustainable technology research mentioned for the Center for Energy and Environment at IIT Patna?,"Solar energy systems, biofuels, energy-efficient building designs, and waste management solutions."
